transaction_id,client_id,date_transaction,annee,mois,trimestre,jour_semaine,categorie,produit,type_operation,statut,agence,montant,devise,taux_change_eur,montant_eur,montant_eur_verifie,score_credit_client,categorie_risque,segment_client,solde_avant,is_anomaly
TXN001369,CLI0026,2022-03-25 09:58:00,2022,3,1,Friday,Remboursement credit,PEA,Debit,Complete,Lille-Grand-Place,-2639.99,USD,1.08,-2444.44,-2444.44,699.0,Medium,Standard,2697.47,False
TXN001394,CLI0041,2023-01-03 06:52:00,2023,1,1,Tuesday,Retrait DAB,Credit Auto,Debit,Complete,Bordeaux-Meriadeck,-120.35,USD,1.08,-111.44,-111.44,643.0,Medium,Standard,22528.4,False
TXN001278,CLI0122,2024-05-14 02:04:00,2024,5,2,Tuesday,Virement,PEA,Credit,Complete,Nantes-Commerce,307.37,EUR,1.0,307.37,307.37,824.0,Low,Premium,25404.97,False
TXN000663,CLI0020,2024-06-30 21:07:00,2024,6,2,Sunday,Virement,PEA,Credit,Complete,Bordeaux-Meriadeck,1091.33,CHF,0.97,1125.08,1125.08,660.0,Medium,Standard,41973.38,False
TXN001869,CLI0029,2022-05-21 15:53:00,2022,5,2,Saturday,Depot especes,Credit Consommation,Debit,Complete,Paris-Centre,-68.55,EUR,1.0,-68.55,-68.55,696.0,Medium,Standard,49164.19,False
TXN001810,CLI0097,2022-09-16 03:20:00,2022,9,3,Friday,Depot especes,Compte Epargne,Credit,Complete,Lille-Grand-Place,2734.98,USD,1.08,2532.39,2532.39,397.0,High,Risque,6932.66,False
TXN000888,CLI0121,2024-04-30 23:19:00,2024,4,2,Tuesday,Prelevement,Compte Epargne,Credit,Complete,Marseille-Vieux-Port,860.29,GBP,0.86,1000.34,1000.34,645.0,Medium,Premium,38753.21,False
TXN001557,CLI0022,2024-10-20 21:52:00,2024,10,4,Sunday,Depot especes,Compte Epargne,Credit,Complete,Toulouse-Capitole,1791.77,EUR,1.0,1791.77,1791.77,787.0,Low,Standard,25283.87,False
TXN000334,CLI0020,2023-04-02 16:25:00,2023,4,2,Sunday,Paiement CB,Credit Auto,Credit,Complete,Bordeaux-Meriadeck,189.39,EUR,1.0,189.39,189.39,660.0,Medium,Standard,44369.88,False
TXN001842,CLI0131,2023-03-05 11:15:00,2023,3,1,Sunday,Remboursement credit,Compte Courant,Debit,Complete,Marseille-Vieux-Port,-2405.51,EUR,1.0,-2405.51,-2405.51,838.0,Low,Premium,27273.18,False
TXN001160,CLI0146,2022-02-26 22:38:00,2022,2,1,Saturday,Paiement CB,Credit Immobilier,Credit,Rejete,Toulouse-Capitole,255.59,CHF,0.97,263.49,263.49,583.0,Medium,Standard,10838.69,False
TXN001311,CLI0046,2024-01-26 23:11:00,2024,1,1,Friday,Prelevement,Credit Consommation,Credit,Complete,Bordeaux-Meriadeck,500.52,USD,1.08,463.44,463.44,841.0,Low,Premium,16341.35,False
TXN000947,CLI0036,2024-01-24 11:12:00,2024,1,1,Wednesday,Prelevement,Credit Consommation,Credit,Complete,Marseille-Vieux-Port,1062.22,EUR,1.0,1062.22,1062.22,572.0,High,Risque,29472.01,False
TXN000053,CLI0106,2024-03-27 13:46:00,2024,3,1,Wednesday,Virement international,Assurance Vie,Debit,Complete,Nantes-Commerce,-941.67,GBP,0.86,-1094.97,-1094.97,652.0,Medium,Standard,7716.68,False
TXN001762,CLI0065,2023-10-14 23:56:00,2023,10,4,Saturday,Virement international,Livret A,Debit,Complete,Bordeaux-Meriadeck,-7199.72,EUR,1.0,-7199.72,-7199.72,645.0,Medium,Standard,7191.04,True
TXN000837,CLI0096,2022-08-11 03:04:00,2022,8,3,Thursday,Remboursement credit,PEA,Credit,Complete,Lyon-Part-Dieu,1119.97,EUR,1.0,1119.97,1119.97,710.0,Low,Standard,14182.13,False
TXN001817,CLI0036,2022-08-25 16:20:00,2022,8,3,Thursday,Virement international,Credit Auto,Credit,Complete,Marseille-Vieux-Port,4016.18,EUR,1.0,4016.18,4016.18,572.0,High,Risque,16865.81,False
TXN000464,CLI0028,2022-05-06 02:13:00,2022,5,2,Friday,Remboursement credit,Compte Courant,Credit,Complete,Lyon-Part-Dieu,2460.25,EUR,1.0,2460.25,2460.25,667.0,Medium,Standard,33077.98,False
TXN000917,CLI0045,2023-10-23 18:08:00,2023,10,4,Monday,Remboursement credit,Credit Immobilier,Debit,Complete,Bordeaux-Meriadeck,-2065.8,USD,1.08,-1912.78,-1912.78,704.0,Low,Standard,10056.21,False
TXN001905,CLI0028,2024-09-16 09:09:00,2024,9,3,Monday,Paiement CB,Assurance Vie,Debit,Complete,Lyon-Part-Dieu,-80.27,EUR,1.0,-80.27,-80.27,667.0,Medium,Standard,15449.22,False
TXN000219,CLI0061,2022-05-03 04:45:00,2022,5,2,Tuesday,Remboursement credit,Credit Consommation,Debit,En attente,Marseille-Vieux-Port,-875.48,EUR,1.0,-875.48,-875.48,341.0,High,Risque,26035.99,False
TXN001196,CLI0050,2024-04-16 11:41:00,2024,4,2,Tuesday,Virement international,Credit Auto,Debit,Complete,Lyon-Part-Dieu,-2593.81,CHF,0.97,-2674.03,-2674.03,666.0,Medium,Standard,32646.65,False
TXN001542,CLI0113,2024-03-17 13:52:00,2024,3,1,Sunday,Paiement CB,Livret A,Debit,Complete,Lyon-Part-Dieu,-91.48,GBP,0.86,-106.37,-106.37,643.0,Medium,Standard,41551.58,False
TXN000147,CLI0035,2023-02-21 10:41:00,2023,2,1,Tuesday,Remboursement credit,PEA,Debit,Complete,Lyon-Part-Dieu,-283.26,EUR,1.0,-283.26,-283.26,600.0,Medium,Standard,36256.78,False
TXN000320,CLI0113,2022-03-05 15:10:00,2022,3,1,Saturday,Remboursement credit,Compte Epargne,Debit,Complete,Lyon-Part-Dieu,-1623.73,EUR,1.0,-1623.73,-1623.73,643.0,Medium,Standard,42488.43,False
TXN000133,CLI0076,2023-03-25 04:30:00,2023,3,1,Saturday,Virement international,PEA,Credit,Complete,Lyon-Part-Dieu,1394.85,EUR,1.0,1394.85,1394.85,326.0,High,Risque,27506.8,False
TXN001939,CLI0048,2024-07-07 13:27:00,2024,7,3,Sunday,Paiement CB,Compte Epargne,Debit,Complete,Toulouse-Capitole,-140.32,MAD,10.85,-12.93,-12.93,670.0,Medium,Standard,7276.46,False
TXN000685,CLI0142,2022-02-14 05:53:00,2022,2,1,Monday,Retrait DAB,Credit Immobilier,Debit,Complete,Toulouse-Capitole,-145.66,EUR,1.0,-145.66,-145.66,676.0,Medium,Standard,39391.96,False
TXN001752,CLI0045,2023-03-08 01:05:00,2023,3,1,Wednesday,Paiement CB,Credit Consommation,Debit,Complete,Bordeaux-Meriadeck,-471.95,EUR,1.0,-471.95,-471.95,704.0,Low,Standard,27850.82,False
TXN001247,CLI0067,2023-08-08 14:01:00,2023,8,3,Tuesday,Remboursement credit,Compte Epargne,Credit,Complete,Paris-Centre,1364.35,EUR,1.0,1364.35,1364.35,337.0,High,Risque,5723.41,False
TXN001403,CLI0057,2024-06-24 02:27:00,2024,6,2,Monday,Prelevement,PEA,Debit,Complete,Nice-Massena,-2176.71,EUR,1.0,-2176.71,-2176.71,645.0,Medium,Risque,34098.81,False
TXN000679,CLI0112,2022-10-26 04:30:00,2022,10,4,Wednesday,Virement international,PEA,Debit,Rejete,Marseille-Vieux-Port,-2607.66,EUR,1.0,-2607.66,-2607.66,636.0,Medium,Standard,25932.26,False
TXN000212,CLI0020,2024-01-08 01:31:00,2024,1,1,Monday,Interets,Credit Immobilier,Debit,Complete,Bordeaux-Meriadeck,-2585.11,EUR,1.0,-2585.11,-2585.11,660.0,Medium,Standard,5234.96,False
TXN000383,CLI0140,2023-05-28 12:53:00,2023,5,2,Sunday,Interets,Credit Consommation,Credit,Complete,Marseille-Vieux-Port,87.22,EUR,1.0,87.22,87.22,609.0,Medium,Standard,48751.11,False
TXN001981,CLI0082,2024-03-13 05:35:00,2024,3,1,Wednesday,Virement international,PEA,Debit,Complete,Paris-Centre,-1440.39,EUR,1.0,-1440.39,-1440.39,813.0,Low,Premium,5403.85,False
TXN001527,CLI0090,2022-05-16 23:47:00,2022,5,2,Monday,Remboursement credit,Credit Consommation,Credit,Complete,Nantes-Commerce,1982.71,GBP,0.86,2305.48,2305.48,682.0,Medium,Standard,28486.62,False
TXN000010,CLI0078,2022-08-31 17:48:00,2022,8,3,Wednesday,Prelevement,Credit Consommation,Credit,Complete,Marseille-Vieux-Port,1277.71,MAD,10.85,117.76,117.76,647.0,Medium,Standard,19080.86,False
TXN001971,CLI0037,2024-05-21 03:28:00,2024,5,2,Tuesday,Virement,Compte Courant,Debit,Complete,Lille-Grand-Place,-2435.52,CHF,0.97,-2510.85,-2510.85,622.0,Medium,Standard,8001.13,False
TXN001461,CLI0082,2023-12-08 12:07:00,2023,12,4,Friday,Depot especes,Assurance Vie,Debit,Complete,Paris-Centre,-611.64,EUR,1.0,-611.64,-611.64,813.0,Low,Premium,29668.5,False
TXN001048,CLI0030,2024-08-27 22:21:00,2024,8,3,Tuesday,Interets,Livret A,Credit,Complete,Lyon-Part-Dieu,2540.3,EUR,1.0,2540.3,2540.3,391.0,High,Risque,49038.65,False
TXN000027,CLI0129,2024-06-20 03:33:00,2024,6,2,Thursday,Virement international,Credit Immobilier,Debit,Complete,Paris-Centre,-7301.45,GBP,0.86,-8490.06,-8490.06,573.0,High,Risque,32773.59,True
TXN001732,CLI0144,2023-12-16 09:26:00,2023,12,4,Saturday,Virement international,PEA,Debit,Complete,Paris-Centre,-5328.18,EUR,1.0,-5328.18,-5328.18,361.0,High,Risque,43745.48,True
TXN000003,CLI0049,2024-04-12 15:35:00,2024,4,2,Friday,Prelevement,Credit Auto,Credit,Complete,Lyon-Part-Dieu,2286.59,EUR,1.0,2286.59,2286.59,593.0,Medium,Standard,960.44,False
TXN000469,CLI0033,2022-02-02 04:46:00,2022,2,1,Wednesday,Depot especes,Credit Immobilier,Credit,Complete,Lyon-Part-Dieu,2660.42,EUR,1.0,2660.42,2660.42,584.0,Medium,Standard,32147.92,False
TXN001641,CLI0026,2024-03-05 03:38:00,2024,3,1,Tuesday,Interets,PEA,Debit,Complete,Lille-Grand-Place,-2959.53,USD,1.08,-2740.31,-2740.31,699.0,Medium,Standard,35237.56,False
TXN000293,CLI0118,2024-07-06 02:54:00,2024,7,3,Saturday,Interets,Credit Auto,Debit,Complete,Lille-Grand-Place,-1520.45,GBP,0.86,-1767.97,-1767.97,641.0,Medium,Standard,986.68,False
TXN000192,CLI0106,2022-09-17 22:55:03,2022,9,3,Saturday,Virement,PEA,Debit,Complete,Nantes-Commerce,-441.44,MAD,10.85,-40.69,-40.69,652.0,Medium,Standard,38097.53,False
TXN000434,CLI0115,2022-08-29 04:12:00,2022,8,3,Monday,Paiement CB,Compte Courant,Credit,Complete,Toulouse-Capitole,21.7,EUR,1.0,21.7,21.7,709.0,Low,Standard,42785.01,False
TXN001885,CLI0100,2023-11-21 09:34:00,2023,11,4,Tuesday,Virement,Compte Epargne,Credit,Complete,Lille-Grand-Place,2967.53,EUR,1.0,2967.53,2967.53,656.0,Medium,Standard,12974.86,False
TXN000918,CLI0079,2024-08-02 17:11:00,2024,8,3,Friday,Prelevement,Compte Epargne,Credit,Complete,Paris-Centre,1159.1,EUR,1.0,1159.1,1159.1,689.0,Medium,Standard,26375.91,False
TXN000087,CLI0100,2022-02-03 11:50:00,2022,2,1,Thursday,Virement international,Livret A,Debit,Complete,Lille-Grand-Place,-726.96,EUR,1.0,-726.96,-726.96,656.0,Medium,Standard,36785.83,False
TXN000310,CLI0040,2023-10-23 19:03:00,2023,10,4,Monday,Virement,Assurance Vie,Credit,Complete,Nice-Massena,2332.3,EUR,1.0,2332.3,2332.3,491.0,High,Risque,28676.58,False
TXN001126,CLI0124,2023-01-20 20:55:00,2023,1,1,Friday,Interets,Credit Auto,Credit,Rejete,Toulouse-Capitole,2460.12,GBP,0.86,2860.6,2860.6,585.0,Medium,Standard,22714.36,False
TXN000694,CLI0046,2022-06-05 11:57:00,2022,6,2,Sunday,Interets,Livret A,Credit,Complete,Bordeaux-Meriadeck,293.13,EUR,1.0,293.13,293.13,645.0,Medium,Premium,46337.64,False
TXN001168,CLI0047,2022-07-18 21:58:00,2022,7,3,Monday,Retrait DAB,Credit Immobilier,Debit,En attente,Lyon-Part-Dieu,-94.24,MAD,10.85,-8.69,-8.69,397.0,High,Risque,35347.74,False
TXN000361,CLI0131,2022-09-20 01:33:00,2022,9,3,Tuesday,Paiement CB,Compte Courant,Debit,Complete,Marseille-Vieux-Port,-403.65,EUR,1.0,-403.65,-403.65,838.0,Low,Premium,19746.47,False
TXN001729,CLI0070,2024-08-09 14:05:00,2024,8,3,Friday,Remboursement credit,PEA,Credit,Complete,Nantes-Commerce,374.23,EUR,1.0,374.23,374.23,645.0,Medium,Risque,34827.68,False
TXN001928,CLI0028,2022-06-02 00:20:00,2022,6,2,Thursday,Remboursement credit,Livret A,Debit,Complete,Inconnue,-2581.55,EUR,1.0,-2581.55,-2581.55,667.0,Medium,Standard,3656.29,False
TXN000524,CLI0006,2022-02-15 07:53:00,2022,2,1,Tuesday,Paiement CB,Compte Epargne,Credit,Complete,Toulouse-Capitole,474.78,EUR,1.0,474.78,474.78,620.0,Medium,Standard,32822.45,False
TXN000112,CLI0111,2024-01-20 12:23:00,2024,1,1,Saturday,Depot especes,Credit Consommation,Debit,Complete,Paris-Centre,-183.47,CHF,0.97,-189.14,-189.14,645.0,Medium,Standard,14501.22,False
TXN001381,CLI0122,2023-12-14 09:41:00,2023,12,4,Thursday,Prelevement,Assurance Vie,Debit,Complete,Nantes-Commerce,-711.73,EUR,1.0,-711.73,-711.73,824.0,Low,Premium,48179.06,False
TXN000619,CLI0111,2023-08-19 01:31:00,2023,8,3,Saturday,Remboursement credit,Credit Auto,Debit,Complete,Paris-Centre,-88888.0,GBP,0.86,-1429.14,-103358.14,617.0,Medium,Standard,3129.16,True
TXN001652,CLI0113,2023-05-10 15:32:00,2023,5,2,Wednesday,Interets,Credit Consommation,Credit,Complete,Lyon-Part-Dieu,837.81,EUR,1.0,837.81,837.81,643.0,Medium,Standard,28556.77,False
TXN000775,CLI0053,2023-07-06 20:44:00,2023,7,3,Thursday,Prelevement,Credit Immobilier,Credit,Complete,Paris-Centre,1954.44,EUR,1.0,1954.44,1954.44,645.0,Medium,Standard,7759.22,False
TXN000317,CLI0040,2023-11-11 01:05:00,2023,11,4,Saturday,Virement,Assurance Vie,Debit,Complete,Nice-Massena,-266.08,EUR,1.0,-266.08,-266.08,491.0,High,Risque,28790.62,False
TXN001770,CLI0041,2022-08-28 02:20:00,2022,8,3,Sunday,Depot especes,Compte Epargne,Credit,Complete,Bordeaux-Meriadeck,2775.98,EUR,1.0,2775.98,2775.98,643.0,Medium,Standard,7666.57,False
TXN000765,CLI0104,2023-05-09 12:31:00,2023,5,2,Tuesday,Retrait DAB,Credit Immobilier,Credit,Complete,Nantes-Commerce,165.29,EUR,1.0,165.29,165.29,645.0,Medium,Standard,18831.04,False
TXN000687,CLI0112,2022-09-25 06:12:00,2022,9,3,Sunday,Prelevement,PEA,Credit,Complete,Marseille-Vieux-Port,1621.04,EUR,1.0,1621.04,1621.04,636.0,Medium,Standard,48851.38,False
TXN001399,CLI0006,2024-02-09 17:29:00,2024,2,1,Friday,Retrait DAB,Livret A,Credit,Complete,Toulouse-Capitole,465.08,EUR,1.0,465.08,465.08,620.0,Medium,Standard,6426.27,False
TXN000233,CLI0045,2023-10-14 23:44:00,2023,10,4,Saturday,Depot especes,PEA,Credit,En attente,Bordeaux-Meriadeck,1108.41,EUR,1.0,1108.41,1108.41,704.0,Low,Standard,28223.96,False
TXN000836,CLI0015,2022-06-08 22:29:00,2022,6,2,Wednesday,Retrait DAB,Compte Epargne,Credit,Complete,Lyon-Part-Dieu,249.16,EUR,1.0,249.16,249.16,648.0,Medium,Standard,8324.74,False
TXN001595,CLI0100,2023-06-07 10:45:00,2023,6,2,Wednesday,Retrait DAB,Credit Consommation,Debit,Complete,Lille-Grand-Place,-324.96,GBP,0.86,-377.86,-377.86,656.0,Medium,Standard,27311.4,False
TXN000262,CLI0055,2023-02-28 08:41:00,2023,2,1,Tuesday,Retrait DAB,Compte Courant,Debit,Complete,Bordeaux-Meriadeck,-216.56,EUR,1.0,-216.56,-216.56,703.0,Low,Standard,6702.47,False
TXN001715,CLI0131,2023-04-15 18:53:00,2023,4,2,Saturday,Paiement CB,Compte Epargne,Credit,Complete,Marseille-Vieux-Port,365.65,USD,1.08,338.56,338.56,838.0,Low,Premium,36551.83,False
TXN000820,CLI0140,2022-04-02 03:34:00,2022,4,2,Saturday,Prelevement,Compte Epargne,Debit,Complete,Marseille-Vieux-Port,-925.38,EUR,1.0,-925.38,-925.38,609.0,Medium,Standard,45617.13,False
TXN000357,CLI0088,2023-01-01 15:20:00,2023,1,1,Sunday,Prelevement,Assurance Vie,Credit,Complete,Bordeaux-Meriadeck,1092.94,EUR,1.0,1092.94,1092.94,413.0,High,Standard,37333.2,False
TXN001969,CLI0115,2022-07-20 18:08:00,2022,7,3,Wednesday,Virement international,Credit Consommation,Debit,Complete,Toulouse-Capitole,-1610.33,EUR,1.0,-1610.33,-1610.33,709.0,Low,Standard,18681.61,False
TXN001617,CLI0061,2022-06-28 04:27:00,2022,6,2,Tuesday,Depot especes,PEA,Credit,Complete,Marseille-Vieux-Port,2649.48,EUR,1.0,2649.48,2649.48,341.0,High,Risque,48173.27,False
TXN000757,CLI0057,2022-10-29 19:18:00,2022,10,4,Saturday,Interets,Compte Courant,Credit,Complete,Nice-Massena,480.32,USD,1.08,444.74,444.74,435.0,High,Risque,15513.68,False
TXN000017,CLI0069,2022-12-25 15:33:00,2022,12,4,Sunday,Virement,Credit Immobilier,Credit,Rejete,Marseille-Vieux-Port,1971.95,USD,1.08,1825.88,1825.88,647.0,Medium,Standard,21850.66,False
TXN001477,CLI0148,2022-11-12 04:20:00,2022,11,4,Saturday,Remboursement credit,Compte Courant,Debit,Complete,Lille-Grand-Place,-1572.54,EUR,1.0,-1572.54,-1572.54,713.0,Low,Standard,26653.82,False
TXN001313,CLI0034,2024-01-23 18:50:03,2024,1,1,Tuesday,Retrait DAB,Credit Immobilier,Debit,Complete,Bordeaux-Meriadeck,-154.05,GBP,0.86,-179.13,-179.13,457.0,High,Risque,35700.14,False
TXN001872,CLI0122,2022-02-16 06:43:00,2022,2,1,Wednesday,Depot especes,PEA,Credit,Complete,Nantes-Commerce,588.76,EUR,1.0,588.76,588.76,824.0,Low,Premium,11310.0,False
TXN001244,CLI0127,2024-04-29 17:04:00,2024,4,2,Monday,Virement,Credit Consommation,Credit,Complete,Nice-Massena,168.38,USD,1.08,155.91,155.91,645.0,Medium,Standard,24624.11,False
TXN001739,CLI0098,2023-04-03 18:03:00,2023,4,2,Monday,Prelevement,PEA,Debit,Complete,Bordeaux-Meriadeck,-2477.73,EUR,1.0,-2477.73,-2477.73,580.0,Medium,Standard,38961.38,False
TXN001347,CLI0003,2024-02-03 10:00:00,2024,2,1,Saturday,Virement international,Credit Consommation,Credit,Complete,Lyon-Part-Dieu,1015.86,USD,1.08,940.61,940.61,587.0,Medium,Standard,16692.64,False
TXN000583,CLI0137,2024-03-06 00:58:00,2024,3,1,Wednesday,Retrait DAB,Assurance Vie,Credit,Complete,Marseille-Vieux-Port,481.16,GBP,0.86,559.49,559.49,725.0,Low,Premium,46822.49,False
TXN001632,CLI0055,2023-06-11 08:30:00,2023,6,2,Sunday,Remboursement credit,Livret A,Debit,Rejete,Bordeaux-Meriadeck,99999.99,EUR,1.0,-2309.67,99999.99,703.0,Low,Standard,39672.27,True
TXN001509,CLI0141,2022-12-08 10:41:00,2022,12,4,Thursday,Depot especes,Credit Consommation,Credit,Complete,Lille-Grand-Place,1122.89,EUR,1.0,1122.89,1122.89,726.0,Low,Premium,46990.84,False
TXN000960,CLI0092,2023-03-23 13:03:00,2023,3,1,Thursday,Interets,PEA,Debit,Rejete,Nantes-Commerce,-1759.73,EUR,1.0,-1759.73,-1759.73,717.0,Low,Standard,22077.93,False
TXN001344,CLI0065,2024-10-16 14:42:03,2024,10,4,Wednesday,Remboursement credit,PEA,Credit,Complete,Bordeaux-Meriadeck,2901.33,EUR,1.0,2901.33,2901.33,660.0,Medium,Standard,40807.48,False
TXN000797,CLI0072,2023-05-22 21:52:00,2023,5,2,Monday,Prelevement,Livret A,Debit,Complete,Marseille-Vieux-Port,-1316.02,GBP,0.86,-1530.26,-1530.26,606.0,Medium,Standard,25166.46,False
TXN000712,CLI0012,2024-08-03 12:21:00,2024,8,3,Saturday,Interets,Compte Epargne,Credit,Complete,Lille-Grand-Place,2250.57,EUR,1.0,2250.57,2250.57,778.0,Low,Premium,12605.23,False
TXN001868,CLI0048,2023-06-04 10:55:00,2023,6,2,Sunday,Prelevement,Compte Epargne,Credit,Complete,Toulouse-Capitole,2770.05,EUR,1.0,2770.05,2770.05,670.0,Medium,Standard,49939.8,False
TXN001441,CLI0117,2023-08-29 04:34:00,2023,8,3,Tuesday,Prelevement,Credit Consommation,Credit,Complete,Lille-Grand-Place,2361.42,CHF,0.97,2434.45,2434.45,645.0,Medium,Standard,28310.46,False
TXN000856,CLI0112,2024-03-07 00:35:00,2024,3,1,Thursday,Virement international,Livret A,Credit,Complete,Marseille-Vieux-Port,6307.96,CHF,0.97,6503.05,6503.05,636.0,Medium,Standard,28966.62,True
TXN000938,CLI0019,2024-12-17 15:12:00,2024,12,4,Tuesday,Virement international,Credit Auto,Credit,Complete,Lille-Grand-Place,6692.74,EUR,1.0,6692.74,6692.74,505.0,High,Risque,17888.61,True
TXN001802,CLI0016,2023-01-02 08:34:00,2023,1,1,Monday,Virement,Livret A,Debit,Complete,Bordeaux-Meriadeck,-2509.01,GBP,0.86,-2917.45,-2917.45,716.0,Low,Standard,127.18,False
TXN000857,CLI0038,2023-10-11 00:09:00,2023,10,4,Wednesday,Virement international,Credit Auto,Credit,Complete,Bordeaux-Meriadeck,7192.71,USD,1.08,6659.92,6659.92,516.0,High,Risque,5768.98,True
TXN000606,CLI0141,2023-06-07 05:15:00,2023,6,2,Wednesday,Remboursement credit,Livret A,Credit,Complete,Lille-Grand-Place,2896.9,EUR,1.0,2896.9,2896.9,726.0,Low,Premium,10490.31,False
TXN000714,CLI0121,2022-12-16 00:38:00,2022,12,4,Friday,Paiement CB,Compte Epargne,Debit,Complete,Marseille-Vieux-Port,-68.25,GBP,0.86,-79.36,-79.36,818.0,Low,Premium,33602.47,False
